pt_root_id,total_myelin_length,cell_type,number_of_segments
864691135342848433,35.99,4P,49
864691136452081151,332.97,23P,41
864691135809509917,171.46,6P-IT,47
864691136066631832,270.85,4P,56
864691135654715586,217.57,23P,35
864691135942612340,1.88,23P,47
864691136967985870,302.48,6P-CT,25
864691135970653797,10.53,4P,49
864691135519105930,329.59,23P,80
864691135273844753,0.0,23P,53
864691135539486066,147.78,23P,73
864691135701272610,0.0,6P-IT,45
864691135455123562,496.0,23P,23
864691135464263742,392.3,5P-IT,81
864691135952121379,619.62,23P,25
864691135430356784,455.06,5P-IT,91
864691135479830982,458.13,4P,128
864691135809354269,670.1,23P,69
864691136275919117,398.97,23P,27
864691135014860278,50.45,5P-IT,59
864691135801604706,49.11,4P,113
864691135499283987,353.94,6P-IT,57
864691136451224831,218.08,23P,49
864691135122469671,155.72,23P,13
864691135578670597,157.06,6P-IT,31
864691135276234469,166.39,23P,53
864691135996497834,750.72,4P,82
864691135136735001,648.77,4P,133
864691136452609023,342.04,5P-IT,81
864691134884807418,748.17,23P,81
864691136380816597,542.22,4P,74
864691136363473634,0.0,4P,47
864691135772764411,85.65,23P,13
864691135468161164,461.11,23P,41
864691135916660582,335.98,23P,77
864691136380757461,610.97,5P-IT,85
864691135476495936,733.67,4P,135
864691135233730649,106.46,23P,15
864691135367033849,0.0,5P-IT,35
864691136389688695,205.66,23P,79
864691135510846217,415.72,6P-CT,34
864691135686055351,0.0,6P-IT,47
864691135502730562,116.82,23P,27
864691135082864887,925.44,5P-IT,105
864691135358995288,105.17,23P,33
864691135517376211,1031.33,5P-ET,74
864691135700799778,116.26,23P,51
864691135361314119,0.0,23P,59
864691136675427975,419.86,5P-IT,69
864691136579629844,0.0,5P-IT,38
864691136092725684,144.64,4P,64
864691136521831825,325.73,5P-IT,129
864691136990522517,133.62,23P,90
864691136084313196,214.91,5P-ET,31
864691135756145106,854.49,23P,67
864691136195566294,581.18,4P,92
864691136664308446,175.8,5P-IT,81
864691135430460720,1030.31,23P,59
864691135137007129,37.06,MC,723
864691135868210454,58.71,23P,65
864691136488821266,1216.86,23P,91
864691135388675969,243.98,5P-IT,51
864691135404860654,35.67,23P,39
864691135741197716,0.0,4P,57
864691136137140093,1371.1,5P-ET,410
864691136445277315,125.06,23P,49
864691135346975135,171.96,5P-IT,56
864691134886663674,9.32,5P-IT,85
864691135124209447,0.0,6P-IT,49
864691135890167433,19.78,5P-IT,103
864691136195824204,170.97,23P,55
864691135519240586,844.2,23P,73
864691135489685818,158.23,23P,51
864691136118618136,93.95,23P,33
864691135493031519,1.66,5P-IT,67
864691136372630152,10.02,6P-IT,41
864691136445237123,0.0,23P,47
864691135360017752,176.01,23P,33
864691135446065810,341.67,MC,391
864691135119056861,441.06,23P,86
864691135778288573,259.86,6P-IT,49
864691135970210661,63.91,5P-IT,112
864691135495542672,3251.79,BC,618
864691136424990255,183.13,6P-IT,59
864691135842794979,0.0,6P-IT,25
864691135440543560,35.56,4P,45
864691136042982742,70.01,23P,68
864691135492614239,280.02,5P-IT,185
864691135274622481,104.72,BC,267
864691136119957272,96.23,4P,45
864691135462420637,0.0,4P,41
864691136239460668,388.22,6P-IT,38
864691136674495623,317.52,5P-IT,65
864691136903144370,85.58,6P-IT,50
864691136195889622,204.78,23P,134
864691135257669039,296.63,23P,69
864691136143696692,144.24,23P,41
864691135953669667,751.17,23P,61
864691135429763120,582.46,23P,38
864691136330122730,473.98,5P-IT,69
864691136107603673,442.82,5P-IT,89
864691135763593014,140.07,23P,49
864691135610849031,0.0,23P,69
864691135118298333,34.49,BPC,190
864691135430346544,768.82,5P-IT,57
864691135257404079,447.94,23P,45
864691136311115610,252.68,23P,53
864691136725032701,324.85,4P,61
864691135809608652,123.55,5P-IT,59
864691136380795861,424.99,5P-IT,88
864691135447312274,385.44,5P-IT,102
864691135360096071,460.85,5P-IT,49
864691135360302680,0.0,4P,31
864691135586711932,18.79,23P,39
864691135885406064,16.4,5P-IT,57
864691135701624699,176.46,23P,71
864691135409675721,124.37,BC,297
864691135497743635,850.42,4P,128
864691135763362102,0.0,4P,33
864691134886404090,164.94,5P-IT,73
864691135742247787,0.0,4P,53
864691135760598606,296.32,6P-IT,42
864691135989828864,0.0,23P,46
864691137198844737,0.6,6P-IT,31
864691135118918109,146.13,MC,264
864691135801170018,151.67,23P,39
864691136298125851,379.6,23P,51
864691135948685665,17.51,BC,354
864691136967478222,106.8,5P-IT,96
864691135849300318,0.0,5P-IT,82
864691136618553563,878.72,4P,89
864691136274786494,0.0,5P-NP,24
864691135272206865,388.71,23P,61
864691137055290998,772.39,MC,31
864691136010928046,177.7,5P-IT,91
864691134942169955,251.79,23P,89
864691135917047910,26.22,6P-IT,51
864691135988649219,0.0,4P,73
864691134966324767,324.59,4P,57
864691136086206316,327.93,5P-IT,53
864691135099901728,7.99,6P-IT,33
864691135183251970,0.0,23P,61
864691136380718037,0.0,6P-IT,47
864691136953413599,230.18,4P,74
864691135577202181,148.51,MC,283
864691135655390658,106.26,23P,60
864691136275771917,0.0,6P-IT,33
864691136227484753,73.43,23P,56
864691135059143323,438.22,5P-IT,36
864691135975633475,602.54,5P-IT,51
864691135489677882,735.86,23P,71
864691135214653240,0.0,6P-IT,5
864691135503182685,2163.25,5P-ET,73
864691135927533070,2.4,6P-IT,49
864691135501703746,95.09,23P,25
864691135756844242,75.45,BC,458
864691135585564280,0.0,4P,47
864691135809280541,299.65,4P,51
864691135577221406,342.2,6P-IT,58
864691136974876956,1901.22,5P-ET,71
864691135720061233,302.49,5P-IT,43
864691135324623260,74.51,5P-IT,93
864691136107486169,15.18,4P,71
864691135810803660,0.0,6P-IT,5
864691136905758130,35.97,4P,56
864691136009982124,20.17,4P,71
864691136106958809,267.13,23P,44
864691135639556411,196.48,5P-IT,65
864691135566237527,556.56,23P,72
864691135339978214,498.8,5P-IT,65
864691135271463077,408.2,4P,56
864691135990134784,186.48,4P,36
864691135397023777,854.65,5P-ET,46
864691135868957462,0.0,6P-IT,43
864691136742623580,27.1,6P-IT,41
864691135688186080,868.67,5P-ET,51
864691135470154834,277.79,6P-IT,84
864691135591727115,127.35,23P,35
864691135519025802,68.81,23P,78
864691135124248359,63.23,5P-IT,85
864691136239081532,307.8,23P,75
864691136579091988,15.69,23P,52
864691135294190518,76.55,23P,51
864691136438216350,112.92,BC,461
864691135455977578,1964.25,6P-IT,89
864691135489514810,2275.13,5P-ET,110
864691135234382937,364.52,23P,59
864691135359010904,193.47,23P,19
864691136966189518,106.36,MC,246
864691135349839831,631.47,23P,87
864691134886912506,627.87,5P-IT,65
